"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Sand Castle","Fernando Coimbra","United States",2017,"Action & Adventure, Dramas, Independent Movies","After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system.","Sand Castle","Drama,War",45,"2 stars"
"Mona Lisa Smile","Mike Newell","United States",2003,"Dramas","In 1953, the women of Wellesley College are measured by how well they marry – until the arrival of a professor who threatens to upend the status quo.","Mona Lisa Smile","Drama,Romance",45,"2 stars"
"Secret in Their Eyes","Billy Ray","United States, United Kingdom, Spain, South Korea",2015,"Dramas, Thrillers","A former FBI investigator reopens the haunting 13-year-old murder case of his colleague, only to uncover shocking truths hidden since then.","Secret in Their Eyes","Mystery,Thriller",45,"2 stars"
"American Assassin","Michael Cuesta","United States",2017,"Action & Adventure","After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA.","American Assassin","Action,Thriller",45,"2 stars"
"The Break-Up","Peyton Reed","United States",2006,"Comedies, Dramas, Romantic Movies","Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.","The Break-Up","Drama,Comedy,Romance",45,"2 stars"
"Bully","Lee Hirsch","United States",2012,"Documentaries","This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.","Bully","Drama,Thriller,Crime",45,"2 stars"
"Don't Knock Twice","Caradog W. James","United Kingdom",2016,"Horror Movies, International Movies","A recovering addict becomes her estranged daughter's only hope after the teen awakens a terrifying child-stealing witch from an urban legend.","Don't Knock Twice","Horror",45,"2 stars"
"S.W.A.T.","Clark Johnson","United States",2003,"Action & Adventure","A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal.","S.W.A.T.","Action,Thriller,Crime",45,"2 stars"
"13 Sins","Daniel Stamm","United States",2014,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.","13 Sins","Thriller,Horror",44,"2 stars"
"Cut Bank","Matt Shakman","United States",2014,"Dramas, Thrillers","A small-town dreamer is sure he's landed on a gold mine after accidentally filming a murder but is sucked into a violent tale of greed and deception.","Cut Bank","Thriller",44,"2 stars"
"All the Boys Love Mandy Lane","Jonathan Levine","United States",2006,"Horror Movies","During a weekend excursion to a secluded ranch, an unwelcome visitor begins picking off the randy admirers of teenage temptress Mandy Lane.","All the Boys Love Mandy Lane","Mystery,Thriller,Horror,Romance",44,"2 stars"
"Kate & Leopold","James Mangold","United States",2001,"Comedies, Romantic Movies","A present-day woman takes responsibility for guiding a charming time-traveling 19th-century nobleman through the 21st century.","Kate & Leopold","Fantasy,Comedy,Romance",44,"2 stars"
"Bushwick","Cary Murnion, Jonathan Milott","United States",2017,"Action & Adventure, Independent Movies","When their diverse neighborhood is besieged by a mysterious militia, a grad student and an ex-Marine become an unlikely team in a battle for survival.","Bushwick","Action,Adventure",44,"2 stars"
"Love, Rosie","Christian Ditter","Germany, United Kingdom",2014,"Comedies, International Movies, Romantic Movies","Over the years, as they come and go in each other's life, childhood pals Rosie and Alex struggle to resolve the lasting, intimate bond between them.","Love, Rosie","Comedy,Romance",44,"2 stars"
"By the Sea","Angelina Jolie","France, Malta, United States",2015,"Dramas, Romantic Movies","Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.","By the Sea","Drama,Romance",44,"2 stars"
"Barely Lethal","Kyle Newman","United States",2015,"Action & Adventure, Comedies","A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.","Barely Lethal","Action,Adventure,Comedy",44,"2 stars"
"Aftermath","Elliott Lester","United Kingdom, United States",2017,"Dramas","After an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.","Aftermath","Drama,Thriller",44,"2 stars"
"Unknown","Jaume Collet-Serra","United Kingdom, Germany, France, United States",2011,"Action & Adventure, Thrillers","Liam Neeson stars as a man who regains consciousness after a car accident, only to discover that another man is impersonating him.","Unknown","Drama,Mystery,Thriller,Crime",44,"2 stars"
"Unicorn Store","Brie Larson","United States",2019,"Comedies, Dramas, Independent Movies","After failing out of art school and taking a humdrum office job, a whimsical painter gets a chance to fulfill her lifelong dream of adopting a unicorn.","Unicorn Store","Drama,Fantasy,Comedy",44,"2 stars"
"Then Came You","Peter Hutchings","United States",2019,"Comedies, Dramas, Independent Movies","A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.","Then Came You","Adventure,Drama,Comedy",44,"2 stars"
"Hot Rod","Akiva Schaffer","United States",2007,"Comedies, Sports Movies","Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.","Hot Rod","Comedy",43,"2 stars"
"Kingpin","Peter Farrelly, Bobby Farrelly","United States",1996,"Comedies, Cult Movies, Sports Movies","After a bowler loses his hand, his career takes a nosedive. That is, until he uncovers the next big thing: an Amish kid named Ishmael.","Kingpin","Sport,Comedy",43,"2 stars"
"Redemption","Steven Knight","United Kingdom, United States",2013,"Action & Adventure, Dramas, International Movies","An Afghanistan veteran haunted by his dark past takes on an assumed identity but must risk stepping into the light when his girlfriend is murdered.","Redemption","Action,Drama,Thriller,Crime",43,"2 stars"
"Equals","Drake Doremus","United States, Indonesia",2015,"Dramas, Romantic Movies, Sci-Fi & Fantasy","Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.","Equals","Sci-Fi,Drama,Romance",43,"2 stars"
"The Peacemaker","Mimi Leder","United States",1997,"Action & Adventure","After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue.","The Peacemaker","Action,Thriller",43,"2 stars"
"Unaccompanied Minors","Paul Feig","United States",2006,"Children & Family Movies, Comedies","Five disparate kids, snowed in at the airport on Christmas Eve, try to get back to their families and outsmart a disgruntled airport official.","Unaccompanied Minors","Adventure,Comedy,Family",43,"2 stars"
"The Forgotten","Oliver Frampton","United Kingdom",2014,"Horror Movies","After a teenager goes to live with his father in abandoned public housing, he hears strange noises and decides to investigate with his new friend.","The Forgotten","Sci-Fi,Mystery,Thriller,Horror",43,"2 stars"
"Cirque du Freak: The Vampire's Assistant","Paul Weitz","United States",2009,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","When Darren Shan is taken to a circus that's chock-full of sideshow oddities, he meets a vampire and receives a life-changing bite on the neck.","Cirque du Freak: The Vampire's Assistant","Action,Adventure,Thriller,Fantasy,Horror,Comedy",43,"2 stars"
"Brooklyn's Finest","Antoine Fuqua","United States",2009,"Dramas, Thrillers","Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.","Brooklyn's Finest","Action,Drama,Thriller,Crime",43,"2 stars"
"Death Note","Adam Wingard","United States",2017,"Horror Movies, Thrillers","Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class.","Death Note","Action,Adventure,Drama,Mystery,Thriller,Fantasy,Horror,Crime",43,"2 stars"
"Shelter","Måns Mårlind, Björn Stein","United States",2010,"Horror Movies, Thrillers","A forensic psychiatrist has to think outside the box when she takes on a patient whose multiple personalities lead to a trail of murder victims.","Shelter","Drama",43,"2 stars"
"Backtrack","Michael Petroni","Australia, United Kingdom, United Arab Emirates, Canada",2015,"Dramas, Thrillers","Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?","Backtrack","Drama,Mystery,Thriller,Horror",43,"2 stars"
"Wish I Was Here","Zach Braff","United States",2014,"Comedies, Dramas, Independent Movies","With his acting career moribund, Aidan Bloom steers a new tack in life, taking over his children's education when private school becomes too costly.","Wish I Was Here","Drama,Comedy",43,"2 stars"
"4th Man Out","Andrew Nackman","United States",2015,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.","4th Man Out","Drama,Comedy",43,"2 stars"
"Dante's Peak","Roger Donaldson","United States",1997,"Action & Adventure","When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.","Dante's Peak","Action,Adventure,Drama",43,"2 stars"
"From Paris with Love","Pierre Morel","France, United Kingdom, United States",2010,"Action & Adventure, International Movies","A low-level intelligence agent gets pulled into action and espionage above his pay grade when he's ordered to assist a trigger-happy senior agent.","From Paris with Love","Action,Thriller,Crime",42,"2 stars"
"Good People","Henrik Ruben Genz","United States, United Kingdom, Denmark, Sweden",2014,"Action & Adventure, Thrillers","A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.","Good People","Action,Thriller,Crime",42,"2 stars"
"The Duel","Kieran Darcy-Smith","United States",2016,"Dramas","In 1866, a Texas Ranger investigates some suspicious deaths in a town ruled by a religious despot whose past contains a disturbing link to his own.","The Duel","Drama,Western",42,"2 stars"
"Below Her Mouth","April Mullen","Canada",2016,"Dramas, Independent Movies, International Movies","An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.","Below Her Mouth","Drama,Romance",42,"2 stars"
"Take Me Home Tonight","Michael Dowse","United States, Germany",2011,"Comedies, Romantic Movies","Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life.","Take Me Home Tonight","Drama,Comedy",42,"2 stars"
"The Boy","William Brent Bell","United States, Canada, China",2016,"Horror Movies, Independent Movies, Thrillers","A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.","The Boy","Mystery,Thriller,Horror",42,"2 stars"
"Monsters: Dark Continent","Tom Green","United Kingdom",2014,"Action & Adventure, Dramas, Independent Movies","An American platoon stationed in the Middle East is thrust into battle with a breed of tentacled aliens whose rapid spread threatens human survival.","Monsters: Dark Continent","Sci-Fi,Drama,Thriller,War",42,"2 stars"
"Jem and the Holograms","Jon M. Chu","United States",2015,"Dramas, Music & Musicals, Sci-Fi & Fantasy","After becoming an overnight star via the internet, teenage rocker Jem and her sisters journey to LA, where fame, fun and a family mystery await.","Jem and the Holograms","Adventure,Drama,Fantasy,Music",42,"2 stars"
"Transcendence","Wally Pfister","United Kingdom, China, United States",2014,"Sci-Fi & Fantasy, Thrillers","Two computer scientists work to achieve technological singularity to create a world where computers can transcend the abilities of the human brain.","Transcendence","Action,Sci-Fi,Drama,Mystery,Thriller",42,"2 stars"
"Next","Lee Tamahori","United States",2007,"Action & Adventure, Sci-Fi & Fantasy","Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.","Next","Action,Sci-Fi,Thriller,Fantasy,Romance",42,"2 stars"
"The Family","Luc Besson","France, United Kingdom, United States",2013,"Action & Adventure, Comedies","The Manzonis, an infamous mob family, are relocated to Normandy, France, by the witness protection program and have some difficulty fitting in.","The Family","Action,Drama,Thriller,Comedy,Crime",42,"2 stars"
"A Bad Moms Christmas","Jon Lucas, Scott Moore","United States, China",2017,"Comedies","Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.","A Bad Moms Christmas","Action,Adventure,Comedy",42,"2 stars"
"Pizza","Akshay Akkineni","India",2014,"Horror Movies, International Movies, Thrillers","A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.","Pizza","Comedy",42,"2 stars"
"Reincarnated","Andy Capper","United States",2012,"Documentaries, Music & Musicals","Vice magazine's Andy Capper follows rapper Snoop Dogg on a pilgrimage to Jamaica, where he rechristens himself Snoop Lion, a reggae artist.","Reincarnated","Music,Documentary",42,"2 stars"
"Trash Fire","Richard Bates Jr.","United States",2016,"Comedies, Dramas, Independent Movies","Surprise news that his girlfriend is pregnant sends loutish Owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother.","Trash Fire","Horror,Comedy,Romance",42,"2 stars"
"The Time Machine","Simon Wells","United States, United Arab Emirates",2002,"Action & Adventure, Sci-Fi & Fantasy","Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.","The Time Machine","Action,Adventure,Sci-Fi",42,"2 stars"
"Fred Claus","David Dobkin","United States",2007,"Children & Family Movies, Comedies","The holiday season is ruined for Santa Claus when his cranky older brother – a repo man with a sizable rap sheet – visits him at the North Pole.","Fred Claus","Fantasy,Comedy,Family",42,"2 stars"
"Along Came a Spider","Lee Tamahori","United States, Germany, Canada",2001,"Thrillers","When a girl is kidnapped from a prestigious prep school, a homicide detective takes the case, teaming up with young security agent.","Along Came a Spider","Mystery,Thriller,Crime",42,"2 stars"
"Superstar","Bruce McCulloch","United States",1999,"Comedies","A socially awkward Catholic schoolgirl vows to win a dreamy classmate’s affections by taking first prize at an upcoming talent show.","Superstar","Comedy",42,"2 stars"
