"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"The Girl with the Dragon Tattoo","David Fincher","United States, Sweden, Norway",2011,"Dramas, Thrillers","When a young computer hacker is tasked with investigating a prying journalist, their separate missions become entangled amid a decades-old conspiracy.","The Girl with the Dragon Tattoo","Drama,Thriller",71,"3 stars"
"Gemini","P.K. Baaburaaj","India",2018,"Dramas","Despite growing up with traits that set her apart from her peers, a young adopted girl discovers her gift when she takes an interest in spelling bees.","Gemini","Mystery,Thriller",71,"3 stars"
"Men in Black","Barry Sonnenfeld","United States",1997,"Action & Adventure, Comedies, Sci-Fi & Fantasy","A streetwise cop teams with a veteran government agent to work for a super-secret, extremely dapper team that monitors extraterrestrials on Earth.","Men in Black","Action,Sci-Fi,Comedy",71,"3 stars"
"Mansfield Park","Patricia Rozema","United Kingdom",1999,"Comedies, Dramas, International Movies","A poor heroine is sent to live with wealthy relatives in 1800s England, where her wit and writing talent find the room, and circumstance, to grow.","Mansfield Park","Drama,Comedy,Romance",71,"3 stars"
"Molly's Game","Aaron Sorkin","China, Canada, United States",2017,"Dramas","Former Olympian Molly Bloom ran a high-stakes poker game for the stars – until her lofty lifestyle nearly sent her to prison.","Molly's Game","Biography,Drama,Crime",71,"3 stars"
"Undefeated","Daniel Lindsay, T.J. Martin","United States",2011,"Documentaries, Sports Movies","An inspirational profile of an inner-city high school football team's valiant effort to reach the school's first-ever playoff game.","Undefeated","Documentary",71,"3 stars"
"The Score","Frank Oz","Germany, Canada, United States",2001,"Dramas, Thrillers","Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.","The Score","Action,Drama,Thriller,Crime",71,"3 stars"
"Grease","Randal Kleiser","United States",1978,"Classic Movies, Comedies, Music & Musicals","John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.","Grease","Romance,Musical",70,"3 stars"
"I Am Divine","Jeffrey Schwarz","United States",2013,"Documentaries, LGBTQ Movies","This captivating documentary explores the life and work of filmmaker John Waters's muse: internationally celebrated drag superstar Divine.","I Am Divine","Documentary",70,"3 stars"
"All About Nina","Eva Vives","United States",2018,"Comedies, Dramas, Independent Movies","Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty.","All About Nina","Drama,Comedy",70,"3 stars"
"Rocky","John G. Avildsen","United States",1976,"Action & Adventure, Classic Movies, Dramas","Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt.","Rocky","Drama,Sport",70,"3 stars"
"The Little Prince","Mark Osborne","France, Canada, Italy, United States, China",2015,"Children & Family Movies","When an overscheduled girl befriends an eccentric aviator, he regales her with tales about the adventures of an unusual boy who lives on an asteroid.","The Little Prince","Adventure,Drama,Fantasy,Animation,Family",70,"3 stars"
"Mindhorn","Sean Foley","United Kingdom",2017,"Comedies, Cult Movies, Independent Movies","When a twisted killer tells the police he'll only speak to a fictional 1980s TV detective, the washed-up actor who played him takes the gig.","Mindhorn","Comedy",70,"3 stars"
"Sicilian Ghost Story","Fabio Grassadonia, Antonio Piazza","Italy, France, Switzerland",2017,"Dramas, International Movies, Thrillers","When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves.","Sicilian Ghost Story","Drama,Mystery,Fantasy,Romance,Crime",70,"3 stars"
"Bombshell: The Hedy Lamarr Story","Alexandra Dean","United States",2017,"Documentaries","An unearthed audio interview of Hollywood icon Hedy Lamarr reveals a woman with brains as well as beauty, who was the first to patent frequency hopping.","Bombshell: The Hedy Lamarr Story","Biography,History,War,Documentary",70,"3 stars"
"The 12th Man","Harald Zwart","Norway",2018,"Action & Adventure, Dramas, International Movies","Based on true events, this story follows a Norwegian saboteur’s harrowing struggle to reach safety after escaping a Nazi attack during World War II.","The 12th Man","Drama,History,Thriller,War",70,"3 stars"
"Ant-Man and the Wasp","Peyton Reed","United States",2018,"Action & Adventure, Comedies, Sci-Fi & Fantasy","Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission.","Ant-Man and the Wasp","Action,Adventure,Sci-Fi",70,"3 stars"
"Paddleton","Alex Lehmann","United States",2019,"Comedies, Dramas, Independent Movies","After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does.","Paddleton","Drama,Comedy",70,"3 stars"
"Mohawk","Ted Geoghegan","United States",2017,"Action & Adventure, Horror Movies, Independent Movies","During the War of 1812, two Native Americans and their British ally are pursued into enemy territory by American soldiers thirsting for revenge.","Mohawk","Action,Drama,History,Thriller,Horror,Romance,War",70,"3 stars"
"1922","Zak Hilditch","United States",2017,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","1922","Drama,Mystery,Thriller,Horror,Crime",70,"3 stars"
"Raiders!: The Story of the Greatest Fan Film Ever Made","Jeremy Coon, Tim Skousen","United States",2015,"Documentaries","Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot.","Raiders!: The Story of the Greatest Fan Film Ever Made","Adventure,Biography,Drama,Comedy,Music,Documentary",70,"3 stars"
"A Murder in the Park","Christopher S. Rech, Brandon Kimber","United States",2014,"Documentaries","This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999.","A Murder in the Park","History,Crime,Documentary,News",70,"3 stars"
"Fearless","Cory Edwards","Canada",2020,"Children & Family Movies, Comedies","A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.","Fearless","Action,Biography,Drama,Sport",70,"3 stars"
"Berlin Syndrome","Cate Shortland","Australia",2017,"International Movies, Thrillers","What starts as a passionate one-night stand quickly turns sinister when Clare learns she's locked inside Andi's apartment with no way out.","Berlin Syndrome","Drama,Mystery,Thriller,Horror",70,"3 stars"
"The Little Hours","Jeff Baena","Canada, United States",2017,"Comedies, Independent Movies","Life at a convent takes an unruly turn when three unconventionally opinionated nuns cross paths with a tempting new gardener.","The Little Hours","Comedy,Romance",69,"3 stars"
"Revolutionary Road","Sam Mendes","United States, United Kingdom",2008,"Dramas, Romantic Movies","April and Frank's marriage unravels when a plan to change their ""perfect"" lives becomes their last hope to escape lives engulfed in emptiness.","Revolutionary Road","Drama,Romance",69,"3 stars"
"Arthur Christmas","Sarah Smith","United Kingdom, United States",2011,"Children & Family Movies, Comedies","At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.","Arthur Christmas","Animation",69,"3 stars"
"The Cruise","Marek Piwowski","Poland",1970,"Comedies, Cult Movies, International Movies","When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue.","The Cruise","Documentary",69,"3 stars"
"Man Up","Ben Palmer","United Kingdom, France",2015,"Comedies, International Movies, Romantic Movies","A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.","Man Up","Drama,Comedy,Romance",69,"3 stars"
"Kill Bill: Vol. 1","Quentin Tarantino","United States, Japan",2003,"Action & Adventure","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle. But she lives – and plots her vengeance.","Kill Bill: Vol. 1","Action,Thriller,Crime",69,"3 stars"
"The Unknown Known","Errol Morris","United States",2013,"Documentaries","Donald Rumsfeld reviews his long political career, from his time in Congress to serving as secretary of defense under Gerald Ford and George W. Bush.","The Unknown Known","Documentary",69,"3 stars"
"Our Souls at Night","Ritesh Batra","United States",2017,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.","Our Souls at Night","Drama,Romance",69,"3 stars"
"Crash","Paul Haggis","United States, Germany",2004,"Dramas, Independent Movies","In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.","Crash","Drama,Crime",69,"3 stars"
"Peepli Live","Anusha Rizvi, Mahmood Farooqui","India",2010,"Comedies, Dramas, Independent Movies","Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers.","Peepli Live","Drama,Comedy",69,"3 stars"
"The Monster","Bryan Bertino","United States, Canada",2016,"Horror Movies, Independent Movies","A troubled mother-daughter relationship faces the ultimate test when the duo’s broken-down car leaves them trapped within reach of a vicious creature.","The Monster","Drama,Horror",69,"3 stars"
"The Company Men","John Wells","United States",2010,"Dramas, Independent Movies","A successful businessman comes face-to-face with America's downsizing epidemic when he loses his job and is forced to take a construction gig.","The Company Men","Drama",69,"3 stars"
"Ginger & Rosa","Sally Potter","United Kingdom, Denmark, Canada, Croatia",2012,"Dramas, Independent Movies","With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart.","Ginger & Rosa","Drama",69,"3 stars"
"Blue Jay","Alex Lehmann","United States",2016,"Dramas, Independent Movies, Romantic Movies","Two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret.","Blue Jay","Drama",69,"3 stars"
"22-Jul","Paul Greengrass","Norway, Iceland, United States",2018,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.","22-Jul","Biography,Drama,History,Thriller,Crime",69,"3 stars"
"Arthur","Jason Winer","United States",2011,"Comedies, Romantic Movies","Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.","Arthur","Comedy,Romance",69,"3 stars"
"Doctor Zhivago","David Lean","United States, Italy, United Kingdom, Liechtenstein",1965,"Classic Movies, Dramas, Romantic Movies","A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.","Doctor Zhivago","Drama,Romance,War",69,"3 stars"
"Babel","Alejandro G. Iñárritu","France, United States, Mexico",2006,"Dramas, Independent Movies","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.","Babel","Drama",69,"3 stars"
"Scott Pilgrim vs. the World","Edgar Wright","United States, United Kingdom, Canada, Japan",2010,"Action & Adventure, Comedies, Cult Movies","Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.","Scott Pilgrim vs. the World","Action,Adventure,Fantasy,Comedy,Romance",69,"3 stars"
"The Seven Five","Tiller Russell","United States",2014,"Documentaries","This riveting film examines the case of Mike Dowd, a corrupt Brooklyn cop who became dirtier than the drug dealers he was supposed to be policing.","The Seven Five","Documentary",69,"3 stars"
"Monster House","Gil Kenan","United States",2006,"Children & Family Movies, Comedies","A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own.","Monster House","Mystery,Fantasy,Comedy,Animation,Family",68,"3 stars"
"Fracture","Gregory Hoblit","United States, Germany",2007,"Dramas, Thrillers","Ted Crawford, who allegedly attempted to murder his wife, is now locked in a battle of wits with a young assistant district attorney.","Fracture","Drama,Mystery,Thriller,Crime",68,"3 stars"
"Everybody Knows","Asghar Farhadi","Spain, France, Italy",2019,"Dramas, International Movies, Thrillers","Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.","Everybody Knows","Drama,Mystery,Thriller,Crime",68,"3 stars"
"Chef","Jon Favreau","United States",2014,"Comedies, Independent Movies","After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck.","Chef","Comedy",68,"3 stars"
"Manhunt","John Woo","China, Hong Kong",2017,"Action & Adventure, International Movies","A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.","Manhunt","Action,Thriller",68,"3 stars"
"Doubt","John Patrick Shanley","United States",2008,"Dramas, Faith & Spirituality","Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.","Doubt","Drama,Mystery",68,"3 stars"
"Avengers: Infinity War","Anthony Russo, Joe Russo","United States",2018,"Action & Adventure, Sci-Fi & Fantasy","Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.","Avengers: Infinity War","Action,Adventure,Sci-Fi,Fantasy",68,"3 stars"
"Miracle","Gavin O'Connor","Canada, United States",2004,"Children & Family Movies, Dramas, Sports Movies","U.S. hockey coach Herb Brooks unites a motley crew of college athletes and turns them into a force to be reckoned with at the 1980 Winter Olympics.","Miracle","Drama,History,Sport,Family",68,"3 stars"
"Small Town Crime","Ian Nelms, Eshom Nelms","United States",2017,"Thrillers","When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer – an act of self-redemption that takes him down a dark path.","Small Town Crime","Mystery,Thriller,Crime",68,"3 stars"
"The Adventures of Tintin","Steven Spielberg","United States, New Zealand, United Kingdom",2011,"Children & Family Movies","This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy.","The Adventures of Tintin","Adventure,Mystery,Animation,Family",68,"3 stars"
"Charlotte's Web","Charles A. Nichols, Iwao Takamoto","United States",1973,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.","Charlotte's Web","Fantasy,Comedy,Family",68,"3 stars"
"The Boy Who Harnessed the Wind","Chiwetel Ejiofor","United Kingdom, Malawi",2019,"Children & Family Movies, Dramas, Independent Movies","Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story.","The Boy Who Harnessed the Wind","Drama",68,"3 stars"
"The Place Beyond the Pines","Derek Cianfrance","United States",2012,"Dramas, Independent Movies","A violent confrontation between a motorcycle-riding bank robber and a rookie cop spirals into a tense generational feud.","The Place Beyond the Pines","Drama,Crime",68,"3 stars"
"Prospect","Zeek Earl, Christopher Caldwell","Canada, United States",2018,"Sci-Fi & Fantasy, Thrillers","A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.","Prospect","Sci-Fi",68,"3 stars"
"The Hateful Eight","Quentin Tarantino","United States",2015,"Action & Adventure, Thrillers","Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers.","The Hateful Eight","Drama,Mystery,Thriller,Comedy,Crime,Western",68,"3 stars"
"The Blackcoat's Daughter","Osgood Perkins","Canada, United States",2015,"Horror Movies, Independent Movies, Thrillers","When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence.","The Blackcoat's Daughter","Thriller,Horror",68,"3 stars"
"Back to School","Rémy Four, Julien War",NULL,2019,"Comedies, International Movies","Eager to flaunt their success in front of old bullies and teenage crushes, two best friends spend a wild night at their middle school reunion.","Back to School","Sport,Comedy,Romance",68,"3 stars"
"End of Watch","David Ayer","United States",2012,"Action & Adventure","Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.","End of Watch","Drama,Mystery,Thriller,Crime",68,"3 stars"
"Icarus","Bryan Fogel","United States",2017,"Documentaries, Sports Movies","An American filmmaker and cyclist unwittingly wades into a global scandal when a Russian scientist leaks shocking details of a vast doping conspiracy.","Icarus","Sport,Thriller,Documentary",68,"3 stars"
"The Conjuring","James Wan","United States",2013,"Horror Movies, Thrillers","Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse.","The Conjuring","Biography,Thriller,Horror",68,"3 stars"
"Nobody Speak: Trials of the Free Press","Brian Knappenberger","Netherlands, United States",2017,"Documentaries","Hulk Hogan's court case against Gawker Media sheds light on wealthy, powerful figures who challenge freedom of the press in order to silence critics.","Nobody Speak: Trials of the Free Press","Documentary",68,"3 stars"
"Hustle & Flow","Craig Brewer","United States",2005,"Dramas, Independent Movies, Music & Musicals","A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.","Hustle & Flow","Drama,Crime,Music",68,"3 stars"
"I Am the Pretty Thing That Lives in the House","Osgood Perkins","Canada, United States",2016,"Horror Movies, International Movies, Thrillers","A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.","I Am the Pretty Thing That Lives in the House","Thriller",68,"3 stars"
"Ghost Stories","Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","India",2020,"Horror Movies, International Movies, Thrillers","The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers.","Ghost Stories","Drama,Horror",68,"3 stars"
"Paranormal Activity","Oren Peli","United States",2007,"Horror Movies, Thrillers","When Katie and Micah fear their home may be haunted by a demonic presence, Micah sets up a video camera to document all the action.","Paranormal Activity","Thriller,Horror",68,"3 stars"
"Inequality for All","Jacob Kornbluth","United States",2013,"Documentaries","Former U.S. Labor Secretary Robert Reich makes a compelling case about the serious crisis the U.S. faces due to the widening economic gap.","Inequality for All","Documentary",68,"3 stars"
"Haywire","Steven Soderbergh","Ireland, United States",2011,"Action & Adventure","A last-minute mission in Dublin turns deadly for stunning secret operative Mallory Kane when she realizes she's been betrayed.","Haywire","Action,Thriller",67,"3 stars"
"The Sapphires","Wayne Blair","Australia",2012,"Comedies, Dramas, Independent Movies","Sisters Gail, Cynthia and Julie have talent, but their career takes off when promoter Dave convinces them to tour for U.S. troops in Vietnam.","The Sapphires","Biography,Drama,Comedy,Musical",67,"3 stars"
"Other People","Chris Kelly","United States",2016,"Comedies, Dramas, Independent Movies","After a bad breakup, a struggling New York comedy writer tries to don a brave face and care for his dying mother in Sacramento.","Other People","Drama",67,"3 stars"
"Nocturnal Animals","Tom Ford","United States",2016,"Dramas, Thrillers","Reading her ex-husband's violent novel manuscript destabilizes gallery owner Susan's life, upending her present while digging up their past.","Nocturnal Animals","Drama,Thriller",67,"3 stars"
"Bolt","Byron Howard, Chris Williams","United States",2008,"Children & Family Movies, Comedies","This tale follows German shepherd Bolt, a canine actor who makes a cross-country trek when he's mistakenly shipped from Hollywood to New York City.","Bolt","Adventure,Fantasy,Comedy,Animation,Family",67,"3 stars"
"Canvas","Frank E. Abney III","United States",2020,"Children & Family Movies, Dramas","After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.","Canvas","Drama",67,"3 stars"
"Nowhere Boy","Sam Taylor-Johnson","United Kingdom, Canada",2009,"Dramas","Raised by his aunt since he was a young boy, charismatic John Lennon is suddenly reunited with his mother, Julia, which ignites a bitter battle.","Nowhere Boy","Biography,Drama,Music",67,"3 stars"
"Suffragette","Sarah Gavron","United Kingdom, France",2015,"Dramas, International Movies","At the beginning of the 20th century, circumstances drive a young, idealistic suffragette to find radical approaches to fighting male oppression.","Suffragette","Biography,Drama,History",67,"3 stars"
"The Great Hack","Karim Amer, Jehane Noujaim","United States",2019,"Documentaries","Explore how a data company named Cambridge Analytica came to symbolize the dark side of social media in the wake of the 2016 U.S. presidential election.","The Great Hack","Documentary",67,"3 stars"
"As Good as It Gets","James L. Brooks","United States",1997,"Comedies, Romantic Movies","The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.","As Good as It Gets","Drama,Comedy,Romance",67,"3 stars"
"The American President","Rob Reiner","United States",1995,"Comedies, Dramas, Romantic Movies","The widowed president strikes up a romance with a beautiful Washington lobbyist – but can the couple keep their private and political lives separate?","The American President","Drama,Comedy,Romance",67,"3 stars"
"The Stanford Prison Experiment","Kyle Patrick Alvarez","United States",2015,"Dramas, Independent Movies, Thrillers","Conducting a study on the psychology of incarceration, a Stanford professor assigns guard and prisoner roles to 24 male test subjects in a mock jail.","The Stanford Prison Experiment","Drama,Thriller",67,"3 stars"
"Moon","Duncan Jones","United Kingdom, United States",2009,"Dramas, Independent Movies, Sci-Fi & Fantasy","As he nears the end of a lonely three-year stint on the moon base Sarang, astronaut Sam Bell begins to hear and see strange things.","Moon","Sci-Fi,Drama,Mystery,Thriller",67,"3 stars"
"Chappaquiddick","John Curran","United States, Sweden",2017,"Dramas","Senator Ted Kennedy watches his future unravel in the wake of an infamous car crash as family and allies vie to protect his reputation.","Chappaquiddick","Biography,Drama,History,Thriller,Crime",67,"3 stars"
"Long Shot","Jacob LaMendola","United States",2017,"Documentaries","When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.","Long Shot","Comedy,Romance",67,"3 stars"
"Ip Man 2","Wilson Yip","Hong Kong, China",2010,"Action & Adventure, International Movies","New in Hong Kong, martial arts instructor Ip Man perseveres and retaliates against his rivals' opposition to the Wing Chun fighting style he teaches.","Ip Man 2","Action,Biography,History",67,"3 stars"
"Death at a Funeral","Neil LaBute","United States",2010,"Comedies","When a Los Angeles family's patriarch dies, his dutiful eldest son plans the funeral – which becomes a fiasco thanks to a colorful cast of attendees.","Death at a Funeral","Comedy",67,"3 stars"
"Maps to the Stars","David Cronenberg","Canada, Germany, France, United States",2014,"Comedies, Dramas","A showbiz family revolving around its teen celebrity son desperately tries to hang on to fame and success in this savage satire of Hollywood.","Maps to the Stars","Drama,Comedy",67,"3 stars"
"Band Aid","Zoe Lister-Jones","United States",2017,"Comedies, Dramas, Independent Movies","A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor.","Band Aid","Comedy",67,"3 stars"
"Willy Wonka & the Chocolate Factory","Mel Stuart","United States, East Germany, West Germany",1971,"Children & Family Movies, Classic Movies, Comedies","Zany Willy Wonka causes a stir when he announces that golden tickets hidden inside his candy bars will admit holders into his secret confectionary.","Willy Wonka & the Chocolate Factory","Fantasy,Family,Musical",67,"3 stars"
"Hush","Mike Flanagan","United States",2016,"Horror Movies, Thrillers","A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.","Hush","Thriller,Horror",67,"3 stars"
"The Perks of Being a Wallflower","Stephen Chbosky","United States",2012,"Comedies, Dramas","A shy freshman struggling with depression deals with his best friend's suicide and his first love in this engaging coming-of-age tale.","The Perks of Being a Wallflower","Drama,Romance",67,"3 stars"
"Fiddler on the Roof","Norman Jewison","United States",1971,"Classic Movies, Dramas, Music & Musicals","This adaptation of the musical chronicles the trials of a Jewish peasant, his wife, and their three strong-willed daughters in pre-revolutionary Russia.","Fiddler on the Roof","Drama,Romance,Family,Musical",67,"3 stars"
"Julie & Julia","Nora Ephron","United States",2009,"Comedies, Dramas","In this heartwarming tale, Julie Powell decides to spice up her uneventful life by cooking all 524 recipes outlined in Julia Child's classic cookbook.","Julie & Julia","Biography,Drama,Comedy,Romance",66,"3 stars"
"What Keeps You Alive","Colin Minihan","Canada",2018,"LGBTQ Movies, Thrillers","A couple's romantic anniversary retreat to a rural cabin unravels when a childhood friend appears and reveals long-held secrets from the past.","What Keeps You Alive","Thriller,Horror",66,"3 stars"
"Lock, Stock and Two Smoking Barrels","Guy Ritchie","United Kingdom",1998,"Action & Adventure, Comedies, Independent Movies","Hoping to make a bundle in a high-stakes poker game, four shiftless lads from London's East End instead find themselves swimming in debt.","Lock, Stock and Two Smoking Barrels","Thriller,Comedy,Crime",66,"3 stars"
"E-Team","Katy Chevigny, Ross Kauffman","United States",2014,"Documentaries","The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.","E-Team","Documentary",66,"3 stars"
"The Dark Crystal","Frank Oz, Jim Henson","United States, United Kingdom",1982,"Children & Family Movies","In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.","The Dark Crystal","Adventure,Fantasy,Family",66,"3 stars"
"Phantom Boy","Jean-Loup Felicioli, Alain Gagnol","France, Belgium",2015,"Action & Adventure, Dramas, International Movies","A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.","Phantom Boy","Fantasy,Animation",66,"3 stars"
"Norman Lear: Just Another Version of You","Heidi Ewing, Rachel Grady","United States",2016,"Documentaries","This documentary turns the spotlight on the man behind the iconic ""All in the Family,"" with comments from friends, family and famous collaborators.","Norman Lear: Just Another Version of You","Biography,History,Documentary",66,"3 stars"
"The Bling Ring","Sofia Coppola","United States, United Kingdom, France, Germany, Japan",2013,"Dramas, Independent Movies","Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes.","The Bling Ring","Drama,Comedy,Crime",66,"3 stars"
"The Informant!","Steven Soderbergh","United States",2009,"Comedies, Dramas","While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.","The Informant!","Drama,Thriller,Comedy",66,"3 stars"
"The Danish Girl","Tom Hooper","United Kingdom, United States, Germany, Denmark, Belgium, Japan",2015,"Dramas, International Movies, LGBTQ Movies","In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.","The Danish Girl","Biography,Drama,Romance",66,"3 stars"
"Stuart Little 2","Rob Minkoff","United States",2002,"Children & Family Movies, Comedies","Zany misadventures are in store as lovable city mouse Stuart and his human brother, George, raise the roof in this sequel to the 1999 blockbuster.","Stuart Little 2","Adventure,Fantasy,Comedy,Animation,Family",66,"3 stars"
"World Trade Center","Oliver Stone","United States",2006,"Action & Adventure, Dramas","Working under treacherous conditions, an army of dedicated rescuers struggles to find anyone who survived the World Trade Center's tragic collapse.","World Trade Center","Drama,History",66,"3 stars"
"Something's Gotta Give","Nancy Meyers","United States",2003,"Comedies, Romantic Movies","Still sexy at 60, Harry Sanborn wines and dines women half his age. But a getaway with his girlfriend goes awry when her mother drops in unannounced.","Something's Gotta Give","Comedy,Romance",66,"3 stars"
"Lee Daniels' The Butler","Lee Daniels","United States",2013,"Dramas","The life of a White House butler who worked for eight presidents unfolds against a backdrop of unparalleled change in American history.","Lee Daniels' The Butler","Biography,Drama,History",66,"3 stars"
"Catfight","Onur Tukel","United States",2016,"Comedies, Independent Movies","Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.","Catfight","Drama,Comedy",66,"3 stars"
"The Founder","John Lee Hancock","United States, Greece",2016,"Dramas","After a fateful encounter with the McDonald brothers, struggling salesman Ray Kroc becomes driven to change the way hamburgers are made and sold.","The Founder","Biography,Drama,History",66,"3 stars"
"Shelter","Måns Mårlind, Björn Stein","United States",2010,"Horror Movies, Thrillers","A forensic psychiatrist has to think outside the box when she takes on a patient whose multiple personalities lead to a trail of murder victims.","Shelter","Drama,Sport,Romance",66,"3 stars"
"Philadelphia","Jonathan Demme","United States",1993,"Classic Movies, Dramas, LGBTQ Movies","Philadelphia attorney Andrew Beckett launches a wrongful termination suit against his law firm when they fire him because he's gay and HIV-positive.","Philadelphia","Drama",66,"3 stars"
"Stardust","Matthew Vaughn","United Kingdom, United States",2007,"Action & Adventure, International Movies, Romantic Movies","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form.","Stardust","Adventure,Fantasy,Romance,Family",66,"3 stars"
"Mary Poppins Returns","Rob Marshall","United States, United Kingdom",2018,"Children & Family Movies, Music & Musicals","In 1930s London, Michael Banks and his three children get some help turning their topsy-turvy world around when his magical childhood nanny reappears.","Mary Poppins Returns","Adventure,Drama,Fantasy,Comedy,Animation,Family,Musical",66,"3 stars"
"Elstree 1976","Jon Spira","United Kingdom",2015,"Documentaries","Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.","Elstree 1976","Documentary",66,"3 stars"
